show_id,category,title,director,cast,country,release_date,rating,duration,type,description,release_year,release_month,duration_value,duration_unit
s13,TV Show,1994,diego enrique osorno,david attenborough,mexico,2019-05-17,TV-MA,1 Season,"crime tv shows, docuseries, international tv shows","archival video and new interviews examine mexican politics in 1994, a year marked by the rise of the ezln and the assassination of luis donaldo colosio.",2019,5,1,Season
s14,Movie,"2,215",nottapon boonprakob,artiwara kongmalai,thailand,2019-03-01,TV-MA,89 min,"documentaries, international movies, sports movies","this intimate documentary follows rock star artiwara kongmalai on his historic, 2,215-kilometer charity run across thailand in 2017.",2019,3,89,min
s15,Movie,3022,john suits,"omar epps, kate walsh, miranda cosgrove, angus macfadyen, jorja fox, enver gjokaj, haaz sleiman",united states,2020-03-19,R,91 min,"independent movies, sci-fi & fantasy, thrillers","stranded when the earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",2020,3,91,min
s16,Movie,oct-01,kunle afolayan,"sadiq daba, david bailie, kayode olaiya, kehinde bankole, fabian adeoye lojede, nick rhys, kunle afolayan, colin david reese, ibrahim shatta, femi adebayo, kanayo o. kanayo, lawrence stubbings, ademola adedoyin",nigeria,2019-09-01,TV-14,149 min,"dramas, international movies, thrillers","against the backdrop of nigeria's looming independence from britain, detective danladi waziri races to capture a killer terrorizing local women.",2019,9,149,min
s17,TV Show,feb-09,"raúl campos, jan suter","shahd el yaseen, shaila sabt, hala, hanadi al-kandari, salma salem, ibrahim al-harbi, mahmoud boushahri, yousef al balushi, ghorour, abdullah al-bloshi",united states,2019-03-20,TV-14,1 Season,"international tv shows, tv dramas","as a psychology professor faces alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",2019,3,1,Season
s18,Movie,22-jul,paul greengrass,"anders danielsen lie, jon øigarden, jonas strand gravli, ola g. furuseth, maria bock, thorbjørn harr, jaden smith","norway, iceland, united states",2018-10-10,R,144 min,"dramas, thrillers","after devastating terror attacks in norway, a young survivor, grieving families and the country rally for justice and healing. based on a true story.",2018,10,144,min
s19,Movie,15-aug,swapnaneel jayakar,"rahul pethe, mrunmayee deshpande, adinath kothare, vaibhav mangale, jaywant wadkar, satish pulekar, naina apte, uday tikekar",india,2019-03-29,TV-14,124 min,"comedies, dramas, independent movies","on india's independence day, a zany mishap in a mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",2019,3,124,min
s20,Movie,'89,"raúl campos, jan suter","lee dixon, ian wright, paul merson",united kingdom,2018-05-16,TV-PG,87 min,sports movies,"mixing old footage with interviews, this is the story of arsenal's improbable win versus liverpool in the final moments of the 1989 championship game.",2018,5,87,min
s21,Movie,​​kuch bheege alfaaz,onir,"geetanjali thapa, zain khan durrani, shray rai tiwari, mona ambegaonkar, chandreyee ghosh, barun chanda, saheb bhattacharjee, shefali chauhan",india,2018-09-01,TV-14,110 min,"dramas, independent movies, international movies","after accidentally connecting over the internet, two strangers form a tight friendship – not knowing they already share a bond.",2018,9,110,min
s22,Movie,​goli soda 2,vijay milton,"samuthirakani, bharath seeni, vinoth, esakki barath, chemban vinod jose, gautham menon, krisha kurup, subiksha",india,2018-09-15,TV-14,128 min,"action & adventure, dramas, international movies","a taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.",2018,9,128,min
s23,Movie,​maj rati ​​keteki,santwana bardoloi,"adil hussain, shakil imtiaz, mahendra rabha, sulakshana baruah, rahul gautam sarma, kulada bhattacharjya, indu mohan das, moumita talukdar",india,2018-09-15,TV-14,117 min,"dramas, international movies","a successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.",2018,9,117,min
s24,Movie,​mayurakshi,atanu ghosh,"soumitra chatterjee, prasenjit chatterjee, indrani haldar, sudipta chakraborty, suman banerjee, gargi roychowdhury",india,2018-09-15,TV-14,100 min,"dramas, international movies","when a middle-aged divorcee returns to kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.",2018,9,100,min
s25,TV Show,​saint seiya: knights of the zodiac,"raúl campos, jan suter","bryson baugus, emily neves, blake shepard, patrick poole, luci christian, adam gibbs, masakazu morita, fumiko orikasa, takahiro sakurai, hiroaki miura, satomi sato, katsuyuki konishi",japan,2020-01-23,TV-14,2 Seasons,"anime series, international tv shows","seiya and the knights of the zodiac rise again to protect the reincarnation of the goddess athena, but a dark prophecy hangs over them all.",2020,1,2,Seasons
s26,Movie,(t)error,"lyric r. cabral, david felix sutcliffe",david attenborough,united states,2016-06-30,NR,84 min,documentaries,this real-life look at fbi counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,2016,6,84,min
s27,TV Show,(un)well,"raúl campos, jan suter",david attenborough,united states,2020-08-12,TV-MA,1 Season,reality tv,"this docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. but do the products live up to the promises?",2020,8,1,Season
s28,Movie,#alive,cho il,"yoo ah-in, park shin-hye",south korea,2020-09-08,TV-MA,99 min,"horror movies, international movies, thrillers","as a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",2020,9,99,min
s29,Movie,#annefrank - parallel stories,"sabina fedeli, anna migotto","helen mirren, gengher gatti",italy,2020-07-01,TV-14,95 min,"documentaries, international movies","through her diary, anne frank's story is retold alongside those of five holocaust survivors in this poignant documentary from oscar winner helen mirren.",2020,7,95,min
s30,TV Show,#blackaf,"raúl campos, jan suter","kenya barris, rashida jones, iman benson, genneya walton, scarlet spencer, justin claiborne, ravi cabot-conyers",united states,2020-04-17,TV-MA,1 Season,tv comedies,"kenya barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",2020,4,1,Season
s31,Movie,#cats_the_mewvie,michael margolis,david attenborough,canada,2020-02-05,TV-14,90 min,"documentaries, international movies","this pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",2020,2,90,min
s32,Movie,#friendbutmarried,rako prijanto,"adipati dolken, vanesha prescilla, rendi jhon, beby tsabina, denira wiraguna, refal hady, diandra agatha, sari nila",indonesia,2020-05-21,TV-G,102 min,"dramas, international movies, romantic movies","pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",2020,5,102,min
s33,Movie,#friendbutmarried 2,rako prijanto,"adipati dolken, mawar de jongh, sari nila, vonny cornellya, clay gribble, ivan leonardy, sarah sechan, jourdy pranata",indonesia,2020-06-28,TV-G,104 min,"dramas, international movies, romantic movies","as ayu and ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",2020,6,104,min
s34,Movie,#realityhigh,fernando lebrija,"nesta cooper, kate walsh, john michael higgins, keith powers, alicia sanz, jake borelli, kid ink, yousef erakat, rebekah graf, anne winters, peter gilroy, patrick davis",united states,2017-09-08,TV-14,99 min,comedies,"when nerdy high schooler dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",2017,9,99,min
s35,Movie,#roxy,michael kennedy,"jake short, sarah fisher, booboo stewart, danny trejo, pippa mackie, jake smith, patricia zentilli, carter thicke",canada,2019-04-10,TV-14,105 min,"comedies, romantic movies",a teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,2019,4,105,min
s36,Movie,#rucker50,robert mccullough jr.,david attenborough,united states,2016-12-01,TV-PG,56 min,"documentaries, sports movies",this documentary celebrates the 50th anniversary of the harlem sports program that has inspired countless city kids to become pro basketball players.,2016,12,56,min
s37,Movie,#selfie,cristina jacob,"flavia hojda, crina semciuc, olimpia melinte, levent sali, vlad logigan, alex calin, alina chivulescu, razvan vasilescu",romania,2019-06-01,TV-MA,125 min,"comedies, dramas, international movies","two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",2019,6,125,min
s38,Movie,#selfie 69,cristina jacob,"maia morgenstern, olimpia melinte, crina semciuc, flavia hojda, maria dinulescu, alex calin, vlad logigan, levent sali, silvia busuioc, mihaela mihut",romania,2019-06-01,TV-MA,119 min,"comedies, dramas, international movies","after a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",2019,6,119,min
s39,TV Show,แผนร้ายนายเจ้าเล่ห์,"raúl campos, jan suter","chutavuth pattarakampol, sheranut yusananda, nichaphat chatchaipholrat, thassapak hsu",united states,2019-03-30,TV-14,1 Season,"international tv shows, romantic tv shows, tv comedies","when two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.",2019,3,1,Season
s40,Movie,"¡ay, mi madre!",frank ariza,"estefanía de los santos, secun de la rosa, terele pávez, maría alfonsa rosso, mariola fuentes, alfonso sánchez, paz vega, marta torné, concha galán",spain,2019-07-19,TV-MA,81 min,"comedies, international movies","when her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",2019,7,81,min
s41,Movie,çarsi pazar,muharrem gülmez,"erdem yener, ayhan taş, emin olcay, muharrem gülmez, elif nur kerkük, tarık papuççuoğlu, suzan aksoy, doğa konakoğlu, esin eden, deniz özerman",turkey,2017-03-10,TV-14,97 min,"comedies, international movies",the slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,2017,3,97,min
s42,Movie,ég man þig,óskar thór axelsson,"jóhannes haukur jóhannesson, ágústa eva erlendsdóttir, elma stefania agustsdottir, thor kristjansson, anna gunndís guðmundsdóttir, sara dögg ásgeirsdóttir, þröstur leó gunnarsson, jóhann sigurðarson, sveinn geirsson, arnar páll harðarson",iceland,2018-03-27,TV-MA,106 min,"horror movies, international movies","young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",2018,3,106,min
s43,Movie,çok filim hareketler bunlar,ozan açıktan,"ayça erturan, aydan taş, ayşegül akdemir, burcu gönder, bülent emrah parlak, büşra pekin, emre canpolat, ersin korkut, eser yenenler, gizem tuğral, gülhan tekin, gülsüm alkan, hamdi kahraman, i̇brahim büyükak, metin keçeci",turkey,2017-03-10,TV-MA,99 min,"comedies, international movies","vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.",2017,3,99,min
s44,Movie,òlòtūré,kenneth gyang,"beverly osu, sharon ooja, omowunmi dada, pearl okorie, wofai samuel, ikechukwu onunaku, kemi lala akindoju, blossom chukwujekwu, adebukola oladipupo, omoni oboli, segun arinze, ada ameh, sambasa nzeribe, patrick doyle, gregory ojefua",nigeria,2020-10-02,TV-MA,107 min,"dramas, international movies","in lagos, a journalist goes undercover as a prostitute to expose human trafficking. what she finds is a world of exploited women and ruthless violence.",2020,10,107,min
s45,Movie,æon flux,karyn kusama,"charlize theron, marton csokas, jonny lee miller, sophie okonedo, frances mcdormand, pete postlethwaite, amelia warner, caroline chikezie, nikolai kinski, paterson joseph, yangzom brauen",united states,2018-02-01,PG-13,93 min,"action & adventure, sci-fi & fantasy","aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin aeon flux to eliminate the government's top leader.",2018,2,93,min
s46,TV Show,şubat,"raúl campos, jan suter","alican yücesoy, melisa sözen, musa uzunlar, serkan ercan, özkan uğur, ülkü duru, tansu biçer, nadir sarıbacak, sermet yeşil, ayhan kavas",turkey,2017-01-17,TV-MA,1 Season,"crime tv shows, international tv shows, tv dramas","an orphan subjected to tests that gave him superpowers is rescued and raised on istanbul's streets, where he falls for a reporter linked to his past.",2017,1,1,Season
s47,Movie,1 chance 2 dance,adam deyoe,"lexi giovagnoli, justin ray, rae latt, poonam basu, teresa biter, kalilah harris, alexia dox, adam powell, sean mcbride",united states,2017-07-01,TV-PG,89 min,"dramas, romantic movies","when an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",2017,7,89,min
s48,Movie,1 mile to you,leif tilden,"billy crudup, graham rogers, liana liberato, stefanie scott, tim roth, melanie lynskey, thomas cocquerel, peter coyote",united states,2017-07-07,TV-14,105 min,"dramas, romantic movies, sports movies","after escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.",2017,7,105,min
s49,Movie,10 days in sun city,adze ugah,"ayo makun, adesua etomi, richard mofe-damijo, mercy johnson, falz, tuface idibia, thenjiwe moseley, motlatsi mafatshe, celeste ntuli, miguel a. núñez jr.","south africa, nigeria",2019-10-18,TV-14,87 min,"comedies, international movies, romantic movies","after his girlfriend wins the miss nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in south africa.",2019,10,87,min
s50,Movie,10 jours en or,nicolas brossette,"franck dubosc, claude rich, marie kremer, mathis touré, rufus, olivier claverie",france,2017-07-01,TV-14,97 min,"comedies, dramas, international movies","when a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",2017,7,97,min
s51,Movie,"10,000 b.c.",roland emmerich,"steven strait, camilla belle, cliff curtis, joel virgel, affif ben badra, mo zinal, nathanael baring, mona hammond, omar sharif","united states, south africa",2019-06-01,PG-13,109 min,action & adventure,fierce mammoth hunter d'leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.,2019,6,109,min
s52,TV Show,100 days my prince,"raúl campos, jan suter","doh kyung-soo, nam ji-hyun, cho seong-ha, cho han-cheul, kim seon-ho, han so-hee",south korea,2020-12-07,TV-14,1 Season,"international tv shows, romantic tv shows, tv dramas","upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to joseon’s oldest bachelorette.",2020,12,1,Season
s53,Movie,100 days of solitude,"raúl campos, jan suter",david attenborough,spain,2018-07-06,TV-MA,93 min,"documentaries, international movies","spanish photographer josé díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",2018,7,93,min
s54,TV Show,100 humans,"raúl campos, jan suter","zainab johnson, sammy obeid, alie ward",united states,2020-03-13,TV-14,1 Season,"docuseries, science & nature tv","one hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",2020,3,1,Season
s55,Movie,100 meters,marcel barrena,"dani rovira, karra elejalde, alexandra jiménez, david verdaguer, clara segura, alba ribas, bruno bergonzini, ricardo pereira, manuela couto, marc balaguer","portugal, spain",2017-03-10,TV-MA,109 min,"dramas, international movies, sports movies","a man who is diagnosed with multiple sclerosis responds by training for an ironman triathlon, with his cranky father-in-law's help.",2017,3,109,min
s56,Movie,100 things to do before high school,"raúl campos, jan suter","isabela moner, jaheem toombs, owen joyner, jack de sena, brady reiter, lisa arch, stephanie escajeda",united states,2019-11-02,TV-Y,44 min,movies,"led by seventh-grader c.j., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",2019,11,44,min
s57,Movie,100 years: one woman's fight for justice,melinda janko,david attenborough,united states,2018-03-20,TV-14,75 min,documentaries,this documentary chronicles elouise cobell's long fight against the u.s. government for the gross mismanagement of mineral-rich native american land.,2018,3,75,min
s58,Movie,100% halal,jastis arimba,"anisa rahma, ariyo wahab, anandito dwis, fitria rasyidi, arafah rianti, kinaryosih",indonesia,2021-01-07,TV-14,101 min,"dramas, international movies","after high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",2021,1,101,min
s59,TV Show,100% hotter,"raúl campos, jan suter","daniel palmer, melissa sophia, karen williams, grace woodward",united kingdom,2019-11-01,TV-14,1 Season,"british tv shows, international tv shows, reality tv","a stylist, a hair designer and a makeup artist team up to give britain's biggest fashion disasters some much-needed makeunders.",2019,11,1,Season
s60,Movie,1000 rupee note,shrihari sathe,"usha naik, sandeep pathak, shrikant yadav, ganesh yadav, pooja nayak, devendra gaikwad",india,2016-12-01,TV-14,89 min,"dramas, international movies","after randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",2016,12,89,min
s61,Movie,12 round gun,sam upton,"sam upton, jared abrahamson, mark boone junior, laila ali, kate vernon, cassi thomson, colby french, miguel perez, jay acovone",united states,2019-03-14,TV-MA,90 min,"dramas, independent movies, sports movies","dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.",2019,3,90,min
s62,TV Show,12 years promise,"raúl campos, jan suter","so-yeon lee, namkoong min, tae-im lee, so-hui yoon, won-keun lee, hyo-young ryu",south korea,2017-05-22,TV-14,1 Season,"international tv shows, korean tv shows, romantic tv shows","a pregnant teen is forced by her family to leave her boyfriend and assume a new identity in america, but 12 years later, the couple reunites in korea.",2017,5,1,Season
s63,Movie,13 cameras,victor zarcoff,"pj mccabe, brianne moncrief, sarah baldwin, jim cummings, heidi niedermeyer, neville archambault",united states,2016-08-13,NR,90 min,"horror movies, independent movies, thrillers","young parents-to-be claire and ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.",2016,8,90,min
s64,TV Show,13 reasons why,"raúl campos, jan suter","dylan minnette, katherine langford, kate walsh, derek luke, brian d'arcy james, alisha boe, christian navarro, miles heizer, ross butler, devin druid, michele selene ang, steven silver, amy hargreaves",united states,2020-06-05,TV-MA,4 Seasons,"crime tv shows, tv dramas, tv mysteries","after a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",2020,6,4,Seasons
s65,TV Show,13 reasons why: beyond the reasons,"raúl campos, jan suter","dylan minnette, katherine langford, kate walsh, derek luke, alisha boe, justin prentice, brandon flynn, miles heizer, christian navarro, brian yorkey, tom mccarthy, selena gomez, mandy teefey, jay asher, dr. rona hu, dr. helen hsu, dr. rebecca hedrick, alexis jones, elaine welteroth, julia bicknell, dr. christine moutier, nic sheff, carrie goldberg, anne winters, joy gorman, brandon butler, marissa jo cerar, susanne timms",united states,2019-08-23,TV-MA,3 Seasons,"crime tv shows, docuseries","cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 reasons why.""",2019,8,3,Seasons
s66,Movie,13 sins,daniel stamm,"mark webber, rutina wesley, devon graye, tom bower, ron perlman, pruitt taylor vince",united states,2019-01-13,R,93 min,"horror movies, thrillers","a man agrees to appear on a game show with a $6 million prize. but as the challenges become more extreme, he realizes he's made a grave mistake.",2019,1,93,min
s67,Movie,13th,ava duvernay,david attenborough,united states,2016-10-07,TV-MA,101 min,documentaries,"in this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of african americans and the u.s. prison boom.",2016,10,101,min
s68,Movie,13th: a conversation with oprah winfrey & ava duvernay,"raúl campos, jan suter","oprah winfrey, ava duvernay",united states,2017-01-26,TV-MA,37 min,movies,"oprah winfrey sits down with director ava duvernay to discuss her oscar-nominated film, historical cycles of oppression and the broken prison system.",2017,1,37,min
s69,Movie,14 blades,daniel lee,"donnie yen, zhao wei, wu chun, law kar-ying, kate tsui, yuwu qi, wu ma, chen kuan tai, sammo kam-bo hung, chen zhi hui, damian lau, xiang dong xu","hong kong, china, singapore",2019-04-03,R,113 min,"action & adventure, international movies","in the age of the ming dynasty, quinglong is the best of the jinyiwei, an elite assassin squad made up of highly trained former street urchins. when evil eunuch jia unseats the emperor, quinglong is called to action but is quickly betrayed.",2019,4,113,min
s70,Movie,14 cameras,"scott hussion, seth fuller","neville archambault, amber midthunder, brytnee ratledge, hank rogerson, chelsea edmundson, john-paul howard, lora martinez-cunningham, brianne moncrief",united states,2018-10-27,TV-MA,89 min,"horror movies, thrillers","upping the “13 cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",2018,10,89,min
s71,Movie,14 minutes from earth,"adam davis, jerry kolber, trey nelson, erich sturm",david attenborough,united states,2019-02-01,TV-MA,84 min,documentaries,a google executive boldly attempts a death-defying mission to travel to space and free-fall back to earth without a rocket.,2019,2,84,min
s72,Movie,16 blocks,richard donner,"bruce willis, mos def, david morse, jenna stern, cylk cozart, casey sander, david zayas, robert racki, patrick garrow, sasha roiz","united states, germany",2019-11-01,PG-13,102 min,action & adventure,"tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.",2019,11,102,min
s73,Movie,17 again,burr steers,"zac efron, leslie mann, matthew perry, thomas lennon, michelle trachtenberg, melora hardin, sterling knight, hunter parrish, nicole sullivan, allison miller",united states,2021-01-01,PG-13,102 min,comedies,"nearing a midlife crisis, thirty-something mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again.",2021,1,102,min
s74,Movie,18 presents,francesco amato,"vittoria puccini, benedetta porcaroli, edoardo leo, sara lazzaro, marco messeri, betty pedrazzi, alessandro giallocosta, filippo gili, giacomo rosselli",italy,2020-05-08,TV-MA,114 min,"dramas, independent movies, international movies",a pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,2020,5,114,min
s75,Movie,1898: our last men in the philippines,salvador calvo,"luis tosar, javier gutiérrez, álvaro cervantes, karra elejalde, carlos hipólito, ricardo gómez, patrick criado, eduard fernández, miguel herrán, emilio palacios",spain,2017-06-02,R,130 min,"dramas, international movies","while spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with filipino insurgents.",2017,6,130,min
s76,Movie,1br,david marmor,"nicole brydon bloom, giles matthey, taylor nichols, alan blumenfeld, celeste sully, susan davis, clayton hoff, earnestine phillips",united states,2020-08-23,TV-MA,90 min,"horror movies, independent movies, thrillers","seeking her independence, a young woman moves to los angeles and settles into a cozy apartment complex with a disturbing sense of community.",2020,8,90,min
s77,Movie,1st summoning,raymond wood,"hayley lovitt, teddy cole, brook todd, ace harney, jason macdonald",united states,2019-07-26,TV-MA,94 min,"horror movies, independent movies","student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think.",2019,7,94,min
s78,Movie,2 alone in paris,"ramzy bedia, éric judor","ramzy bedia, éric judor, benoît magimel, kristin scott thomas, élodie bouchez, édouard baer, fred testot, omar sy",france,2020-06-01,TV-MA,97 min,"comedies, international movies","a bumbling paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on earth.",2020,6,97,min
s79,Movie,2 states,abhishek varman,"alia bhatt, arjun kapoor, ronit roy, amrita singh, revathy, aru krishansh verma",india,2018-08-04,TV-PG,143 min,"comedies, dramas, international movies","graduate students krish and ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",2018,8,143,min
s80,Movie,20 feet from stardom,morgan neville,"darlene love, merry clayton, lisa fischer, táta vega, claudia lennear, judith hill, bruce springsteen, mick jagger, stevie wonder, sting, bette midler, cissy houston, sheryl crow, tata vega",united states,2018-09-22,PG-13,91 min,"documentaries, music & musicals","winner of the 2014 academy award for best documentary feature, this film takes a look at the world of backup vocalists and the legends they support.",2018,9,91,min
s81,TV Show,20 minutes,"raúl campos, jan suter","tuba büyüküstün, ilker aksum, bülent emin yarar, i̇pek bilgin, müjde uzman, firat çelik, ayten uncuoglu, cihat tamer",turkey,2017-08-15,TV-MA,1 Season,"crime tv shows, international tv shows, tv dramas","when his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",2017,8,1,Season
s82,Movie,2015 dream concert,"raúl campos, jan suter","4minute, b1a4, btob, elsie, exid, exo, got7, infinite, kara, shinee, sistar, vixx, nine muses, bts, secret, topp dogg",south korea,2017-04-28,TV-PG,107 min,"international movies, music & musicals","the world's biggest k-pop festival marked its 21st year in 2015, with groups such as exo, 4minute and shinee electrifying the seoul world cup stadium.",2017,4,107,min
s83,Movie,2036 origin unknown,hasraf dulull,"katee sackhoff, ray fearon, julie cox, steven cree, david tse, joe david walters",united kingdom,2018-12-20,TV-14,95 min,sci-fi & fantasy,"working with an artificial intelligence to investigate the failure of a deadly mars landing, a mission controller makes an astonishing discovery.",2018,12,95,min
